timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1651685290184,1576,Register User,500,Internal Server Error,User Management 1-50,text,false,,583,467,8,8,https://custos.scigap.org/user-management/v1.0.0/user,1557,0,837
1651685291771,242,Check Username Availability,200,OK,User Management 1-50,text,true,,698,307,10,10,https://custos.scigap.org/user-management/v1.0.0/user/availability?user.username=UserA,242,0,0
1651685290870,1255,Register User,500,Internal Server Error,User Management 1-48,text,false,,584,467,10,10,https://custos.scigap.org/user-management/v1.0.0/user,1255,0,181
1651685292013,305,Get User Status,200,OK,User Management 1-50,text,true,,698,312,10,10,https://custos.scigap.org/user-management/v1.0.0/user/activation/status?user.username=UserA,305,0,0
1651685290399,1939,Register User,500,Internal Server Error,User Management 1-149,text,false,,584,467,10,10,https://custos.scigap.org/user-management/v1.0.0/user,1939,0,622
1651685292125,255,Check Username Availability,200,OK,User Management 1-48,text,true,,698,307,12,12,https://custos.scigap.org/user-management/v1.0.0/user/availability?user.username=UserA,255,0,0
1651685292340,238,Check Username Availability,200,OK,User Management 1-149,text,true,,698,307,12,12,https://custos.scigap.org/user-management/v1.0.0/user/availability?user.username=UserA,238,0,0
1651685292383,255,Get User Status,200,OK,User Management 1-48,text,true,,698,312,12,12,https://custos.scigap.org/user-management/v1.0.0/user/activation/status?user.username=UserA,255,0,0
1651685290866,1891,Register User,500,Internal Server Error,User Management 1-148,text,false,,584,467,12,12,https://custos.scigap.org/user-management/v1.0.0/user,1891,0,155
1651685290184,2581,Register User,500,Internal Server Error,User Management 1-150,text,false,,584,467,12,12,https://custos.scigap.org/user-management/v1.0.0/user,2581,0,837
1651685290384,2394,Register User,500,Internal Server Error,User Management 1-49,text,false,,584,467,12,12,https://custos.scigap.org/user-management/v1.0.0/user,2394,0,637
