timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1651814383317,810,Find group,200,OK,Group Management (spike) 1-48,text,true,,870,297,13,13,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,810,0,538
1651814383122,1007,Find group,200,OK,Group Management (spike) 1-49,text,true,,870,297,13,13,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,1007,0,732
1651814383750,378,Find group,200,OK,Group Management (spike) 1-46,text,true,,870,297,13,13,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,378,0,138
1651814383916,212,Find group,200,OK,Group Management (spike) 1-45,text,true,,869,297,13,13,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,212,0,95
1651814383518,610,Find group,200,OK,Group Management (spike) 1-47,text,true,,870,297,13,13,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,610,0,336
1651814383118,1004,Find group,200,OK,Group Management (spike) 1-50,text,true,,870,297,13,13,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,1000,0,740
1651814384066,426,Find group,200,OK,Group Management (spike) 1-922,text,true,,870,297,42,42,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,426,0,221
1651814384058,450,Find group,200,OK,Group Management (spike) 1-917,text,true,,870,297,42,42,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,450,0,206
1651814384068,453,Find group,200,OK,Group Management (spike) 1-916,text,true,,870,297,44,44,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,452,0,215
1651814384060,491,Find group,200,OK,Group Management (spike) 1-920,text,true,,870,297,47,47,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,490,0,212
1651814384062,491,Find group,200,OK,Group Management (spike) 1-921,text,true,,870,297,47,47,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,491,0,210
1651814384054,509,Find group,200,OK,Group Management (spike) 1-919,text,true,,870,297,47,47,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,509,0,234
1651814384052,519,Find group,200,OK,Group Management (spike) 1-918,text,true,,870,297,47,47,https://custos.scigap.org/group-management/v1.0.0/group?group.id=groupId,519,0,219
1651814384208,420,Get all groups,200,OK,Group Management (spike) 1-47,text,true,,7033,281,50,50,https://custos.scigap.org/group-management/v1.0.0/groups,420,0,0
